SpringK, Zeta
1.059974804687500000e+04,1.699819974601268768e-02
1.767402343750000000e+03,1.898919977247714996e-02
1.762217773437500000e+03,1.593429408967494965e-02
1.588017944335937500e+03,3.113411366939544678e-03
1.772586914062500000e+03,1.898379810154438019e-02
1.749775024414062500e+03,1.650675013661384583e-02
1.825468994140625000e+03,1.851395145058631897e-02
1.614977539062500000e+03,2.917191712185740471e-03
1.876277221679687500e+03,1.663276366889476776e-02
1.694819091796875000e+03,1.030153036117553711e-02
