SpringK, Zeta
3.688784912109375000e+03,3.255625488236546516e-03
3.639013427734375000e+03,1.646264572627842426e-03
3.670120605468750000e+03,1.345634576864540577e-03
3.881648925781250000e+03,4.164716694504022598e-03
3.645234863281250000e+03,6.000900175422430038e-03
3.760331298828125000e+03,1.689468976110219955e-03
3.952158447265625000e+03,1.315031549893319607e-03
4.114952148437500000e+03,1.358235836960375309e-03
4.234196289062500000e+03,2.004500478506088257e-03
3.870242919921875000e+03,1.234023366123437881e-03
