SpringK, Zeta
3.588013916015625000e+03,1.049911719746887684e-03
3.580232910156250000e+03,1.061349641531705856e-03
4.070117675781250000e+03,1.024945173412561417e-03
3.613403564453125000e+03,1.010632840916514397e-03
3.956430419921875000e+03,1.451237127184867859e-03
3.709586669921875000e+03,1.895184069871902466e-02
3.609302734375000000e+03,1.071466482244431973e-03
3.676270507812500000e+03,1.086967415176331997e-03
3.606582275390625000e+03,5.462985951453447342e-03
3.533817626953125000e+03,6.894603371620178223e-03
