SpringK, Zeta
1.094396386718750000e+04,1.899937354028224945e-02
1.094396972656250000e+04,1.899949274957180023e-02
1.094398535156250000e+04,1.899968832731246948e-02
1.094395117187500000e+04,1.899703219532966614e-02
1.094388378906250000e+04,1.860451512038707733e-02
1.741186767578125000e+03,1.894752867519855499e-02
1.094397070312500000e+04,1.895803026854991913e-02
1.725393554687500000e+03,1.897937059402465820e-02
1.094391699218750000e+04,1.750591956079006195e-02
1.094397753906250000e+04,1.899998076260089874e-02
