,ep_max_height,ep_spring_k,ep_zeta
,value,value,value
0,0.10493230819702148,5725.263671875,0.006099910009652376
1,0.0984984040260315,8355.888671875,0.0034932494163513184
2,0.09713352471590042,7868.54345703125,0.010251125320792198
3,0.06372275203466415,830.0413818359375,0.0067929793149232864
4,0.08862747997045517,10693.0693359375,0.01876777596771717
5,0.0958559587597847,8248.05078125,0.011527452617883682
6,0.10457351058721542,3034.49853515625,0.012002700008451939
7,0.10738269239664078,4832.48974609375,0.008035103790462017
8,0.0978650376200676,8485.5009765625,0.004303330555558205
9,0.09613464772701263,7541.9189453125,0.01523942407220602
10,0.09143832325935364,2291.038818359375,0.009896489791572094
11,0.10341641306877136,6186.68603515625,0.0060693067498505116
12,0.0994228795170784,6544.41748046875,0.013604860752820969
13,0.11036161333322525,3265.728271484375,0.006441944278776646
14,0.09373036026954651,9399.013671875,0.010405940935015678
15,0.11302006244659424,3895.128662109375,0.00497299712151289
